period,tp_mult,sl_mult,total_trades,win_rate,total_pnl,expectancy,max_drawdown,conf_threshold
2013-2015,3.25,0.75,14,0.0,-275.74004697963113,-19.695717641402222,-0.027574004697963575,0.15069493651390076
2013-2015,3.25,0.875,14,0.0,-318.4394161376953,-22.74567258126395,-0.031843941613769494,0.15069493651390076
2013-2015,3.25,1.0,14,0.14285714285714285,-172.29934699358265,-12.307096213827334,-0.025808055686732587,0.15069493651390076
2013-2015,3.25,1.125,14,0.14285714285714285,-209.44461502511112,-14.960329644650797,-0.0288602783473425,0.15069493651390076
2013-2015,3.25,1.25,14,0.14285714285714285,-246.58988305664053,-17.613563075474325,-0.03191250100795205,0.15069493651390076
2013-2015,3.5,0.75,14,0.0,-275.74004697963113,-19.695717641402222,-0.027574004697963575,0.15069493651390076
2013-2015,3.5,0.875,14,0.0,-318.4394161376953,-22.74567258126395,-0.031843941613769494,0.15069493651390076
2013-2015,3.5,1.0,14,0.14285714285714285,-161.19114474051358,-11.513653195750972,-0.025808055686732587,0.15069493651390076
2013-2015,3.5,1.125,14,0.14285714285714285,-198.33641277204205,-14.166886626574435,-0.0288602783473425,0.15069493651390076
2013-2015,3.5,1.25,14,0.14285714285714285,-235.48168080357146,-16.820120057397965,-0.03191250100795205,0.15069493651390076
2016-2017,2.5,0.75,11,0.0,-189.73463159877264,-17.248602872615695,-0.018973463159876882,0.11126798391342163
2016-2017,2.5,0.875,11,0.0,-218.75767019042968,-19.887060926402697,-0.021875767019043087,0.11126798391342163
2016-2017,2.5,1.0,11,0.0,-247.78070878208672,-22.525518980189702,-0.024778070878208564,0.11126798391342163
2016-2017,2.5,1.125,11,0.0,-276.80374737374467,-25.16397703397679,-0.027680374737374586,0.11126798391342163
2016-2017,2.5,1.25,11,0.0,-305.8267859654017,-27.802435087763794,-0.030582678596539882,0.11126798391342163
2016-2017,2.75,0.75,11,0.0,-189.73463159877264,-17.248602872615695,-0.018973463159876882,0.11126798391342163
2016-2017,2.75,0.875,11,0.0,-218.75767019042968,-19.887060926402697,-0.021875767019043087,0.11126798391342163
2016-2017,2.75,1.0,11,0.0,-247.78070878208672,-22.525518980189702,-0.024778070878208564,0.11126798391342163
2016-2017,2.75,1.125,11,0.0,-276.80374737374467,-25.16397703397679,-0.027680374737374586,0.11126798391342163
2016-2017,2.75,1.25,11,0.0,-305.8267859654017,-27.802435087763794,-0.030582678596539882,0.11126798391342163
2016-2017,3.0,0.75,11,0.0,-189.73463159877264,-17.248602872615695,-0.018973463159876882,0.11126798391342163
2016-2017,3.0,0.875,11,0.0,-218.75767019042968,-19.887060926402697,-0.021875767019043087,0.11126798391342163
2016-2017,3.0,1.0,11,0.0,-247.78070878208672,-22.525518980189702,-0.024778070878208564,0.11126798391342163
2016-2017,3.0,1.125,11,0.0,-276.80374737374467,-25.16397703397679,-0.027680374737374586,0.11126798391342163
