symbol,entry,exit,shares,entry_date,exit_date,entry_value,percent_of_equity_at_entry,risk_amount_usd,risk_pct_of_equity,pnl,pnl_percent,exit_reason,entry_time_idx
GOOGL,62.366050720214844,61.7423902130127,149,2020-03-09 00:00:00,2020-03-09 00:00:00,9292.54,92.9254,92.93,0.929254,-92.92541557311978,-0.9292541557311977,STOP_LOSS,548
GOOGL,69.60421752929688,68.9081753540039,132,2020-05-12 00:00:00,2020-05-12 00:00:00,9187.76,91.8776,91.88,0.918776,-91.87756713867248,-0.9187756713867248,STOP_LOSS,593
GOOGL,68.6912612915039,68.00434867858887,133,2020-06-26 00:00:00,2020-06-26 00:00:00,9135.94,91.3594,91.36,0.913594,-91.35937751769997,-0.9135937751769997,STOP_LOSS,625
GOOGL,76.3197250366211,75.55652778625488,118,2020-07-13 00:00:00,2020-07-13 00:00:00,9005.73,90.0573,90.06,0.900573,-90.05727554321376,-0.9005727554321377,STOP_LOSS,635
GOOGL,77.55104064941406,76.77553024291993,115,2020-07-22 00:00:00,2020-07-22 00:00:00,8918.37,89.1837,89.18,0.891837,-89.18369674682552,-0.8918369674682551,STOP_LOSS,642
GOOGL,76.28797912597656,75.5250993347168,116,2020-07-31 00:00:00,2020-07-31 00:00:00,8849.41,88.4941,88.49,0.884941,-88.49405578613255,-0.8849405578613255,STOP_LOSS,649
GOOGL,78.16644287109375,77.38477844238281,112,2020-09-04 00:00:00,2020-09-04 00:00:00,8754.64,87.5464,87.55,0.875464,-87.54641601562525,-0.8754641601562526,STOP_LOSS,674
GOOGL,78.64945983886719,77.86296524047852,110,2020-10-26 00:00:00,2020-10-26 00:00:00,8651.44,86.5144,86.51,0.865144,-86.51440582275384,-0.8651440582275384,STOP_LOSS,709
GOOGL,80.14311981201172,111.91899871826172,107,2022-05-12 00:00:00,2022-05-12 00:00:00,8575.31,85.7531,85.75,0.857531,3400.01904296875,34.0001904296875,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,1098
GOOGL,110.98221588134766,109.87239372253418,108,2022-05-19 00:00:00,2022-05-19 00:00:00,11986.08,119.8608,119.86,1.198608,-119.86079315185498,-1.1986079315185498,STOP_LOSS,1103
GOOGL,108.01525115966797,106.93509864807129,110,2022-05-24 00:00:00,2022-05-24 00:00:00,11881.68,118.8168,118.82,1.188168,-118.81677627563477,-1.1881677627563476,STOP_LOSS,1106
GOOGL,111.08935546875,109.97846191406249,105,2022-06-29 00:00:00,2022-06-29 00:00:00,11664.38,116.6438,116.64,1.166438,-116.64382324218828,-1.1664382324218827,STOP_LOSS,1130
GOOGL,108.06979370117188,106.98909576416015,107,2022-07-01 00:00:00,2022-07-01 00:00:00,11563.47,115.6347,115.63,1.156347,-115.63467926025409,-1.1563467926025408,STOP_LOSS,1132
GOOGL,107.01551818847656,105.94536300659179,107,2022-07-25 00:00:00,2022-07-25 00:00:00,11450.66,114.5066,114.51,1.145066,-114.50660446167059,-1.145066044616706,STOP_LOSS,1147
GOOGL,104.15912628173828,103.1175350189209,109,2022-09-14 00:00:00,2022-09-14 00:00:00,11353.34,113.5334,113.53,1.135334,-113.5334476470941,-1.135334476470941,STOP_LOSS,1183
GOOGL,102.06643676757812,101.04577239990235,110,2022-09-16 00:00:00,2022-09-16 00:00:00,11227.31,112.2731,112.27,1.122731,-112.27308044433556,-1.1227308044433555,STOP_LOSS,1185
GOOGL,98.46617889404297,97.48151710510254,113,2022-09-23 00:00:00,2022-09-23 00:00:00,11126.68,111.2668,111.27,1.112668,-111.26678215026843,-1.1126678215026842,STOP_LOSS,1190
GOOGL,94.86592864990234,93.91726936340332,116,2022-10-13 00:00:00,2022-10-13 00:00:00,11004.45,110.0445,110.04,1.100445,-110.04447723388665,-1.1004447723388666,STOP_LOSS,1204
GOOGL,89.72840118408203,88.8311171722412,122,2022-11-02 00:00:00,2022-11-02 00:00:00,10946.86,109.4686,109.47,1.094686,-109.46864944458056,-1.0946864944458057,STOP_LOSS,1218
GOOGL,82.74610900878906,123.6480484008789,131,2023-06-02 00:00:00,2023-06-02 00:00:00,10839.74,108.3974,108.4,1.083974,5358.1540603637695,53.5815406036377,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,1363
GOOGL,128.21035766601562,126.92825408935546,126,2023-08-02 00:00:00,2023-08-02 00:00:00,16154.51,161.5451,161.55,1.615451,-161.54505065918048,-1.6154505065918048,STOP_LOSS,1404
GOOGL,130.45184326171875,129.14732482910156,123,2023-08-08 00:00:00,2023-08-08 00:00:00,16045.58,160.4558,160.46,1.604558,-160.45576721191392,-1.6045576721191395,STOP_LOSS,1408
GOOGL,133.46690368652344,132.13223464965822,119,2023-09-07 00:00:00,2023-09-07 00:00:00,15882.56,158.8256,158.83,1.588256,-158.8256153869614,-1.588256153869614,STOP_LOSS,1429
GOOGL,135.79762268066406,134.43964645385742,115,2023-09-12 00:00:00,2023-09-12 00:00:00,15616.73,156.1673,156.17,1.561673,-156.1672660827638,-1.561672660827638,STOP_LOSS,1432
GOOGL,136.96795654296875,135.59827697753906,113,2023-09-15 00:00:00,2023-09-15 00:00:00,15477.38,154.7738,154.77,1.547738,-154.7737908935552,-1.547737908935552,STOP_LOSS,1435
GOOGL,137.67214965820312,136.2954281616211,112,2023-10-25 00:00:00,2023-10-25 00:00:00,15419.28,154.1928,154.19,1.541928,-154.192807617188,-1.54192807617188,STOP_LOSS,1463
GOOGL,135.80755615234375,134.44948059082031,112,2023-11-17 00:00:00,2023-11-17 00:00:00,15210.45,152.1045,152.1,1.521045,-152.10446289062475,-1.5210446289062474,STOP_LOSS,1480
GOOGL,135.84722900390625,134.4887567138672,111,2023-11-28 00:00:00,2023-11-28 00:00:00,15079.04,150.7904,150.79,1.507904,-150.79042419433569,-1.5079042419433568,STOP_LOSS,1486
GOOGL,139.7946014404297,138.39665542602538,107,2024-01-17 00:00:00,2024-01-17 00:00:00,14958.02,149.5802,149.58,1.495802,-149.58022354126135,-1.4958022354126135,STOP_LOSS,1519
GOOGL,145.18008422851562,143.72828338623046,102,2024-01-31 00:00:00,2024-01-31 00:00:00,14808.37,148.0837,148.08,1.480837,-148.08368591308698,-1.4808368591308698,STOP_LOSS,1529
GOOGL,144.34695434570312,142.90348480224608,101,2024-02-13 00:00:00,2024-02-13 00:00:00,14579.04,145.7904,145.79,1.457904,-145.7904238891612,-1.457904238891612,STOP_LOSS,1538
GOOGL,149.5341033935547,148.03876235961914,97,2024-03-25 00:00:00,2024-03-25 00:00:00,14504.81,145.0481,145.05,1.450481,-145.04808029174794,-1.4504808029174794,STOP_LOSS,1566
GOOGL,154.21542358398438,152.67326934814454,93,2024-04-02 00:00:00,2024-04-02 00:00:00,14342.03,143.4203,143.42,1.434203,-143.4203439331043,-1.4342034393310432,STOP_LOSS,1571
GOOGL,153.58065795898438,152.04485137939454,92,2024-04-19 00:00:00,2024-04-19 00:00:00,14129.42,141.2942,141.29,1.412942,-141.29420532226447,-1.4129420532226447,STOP_LOSS,1584
